module_path,category,feature,platform,hex_layer,encapsulation,plugin_applied,source_set,source_set_dir,source_set_dir_rel,platform_set,kotlin_loc,kotlin_files
:lib:design:fe,lib,,fe,,,libs.plugins.snag.driving.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/lib/design/fe/src/commonMain,lib/design/fe/src/commonMain,frontend,0,0
:lib:design:fe,lib,,fe,,,libs.plugins.snag.driving.frontend.multiplatform.module,commonTest,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/lib/design/fe/src/commonTest,lib/design/fe/src/commonTest,,0,0
:lib:design:fe,lib,,fe,,,libs.plugins.snag.driving.frontend.multiplatform.module,jvmMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/lib/design/fe/src/jvmMain,lib/design/fe/src/jvmMain,jvm_desktop,0,0
:lib:design:fe,lib,,fe,,,libs.plugins.snag.driving.frontend.multiplatform.module,nonAndroidMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/lib/design/fe/src/nonAndroidMain,lib/design/fe/src/nonAndroidMain,nonAndroid_fe,0,0
:lib:design:fe,lib,,fe,,,libs.plugins.snag.driving.frontend.multiplatform.module,nonJvmMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/lib/design/fe/src/nonJvmMain,lib/design/fe/src/nonJvmMain,nonJvm,0,0
:lib:routing:be,lib,,be,,,libs.plugins.snag.impl.driving.backend.module,main,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/lib/routing/be/src/main,lib/routing/be/src/main,backend,0,0
:lib:routing:common,lib,,common,,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/lib/routing/common/src/commonMain,lib/routing/common/src/commonMain,all,0,0
:lib:routing:fe,lib,,fe,,,libs.plugins.snag.driving.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/lib/routing/fe/src/commonMain,lib/routing/fe/src/commonMain,frontend,0,0
:lib:routing:fe,lib,,fe,,,libs.plugins.snag.driving.frontend.multiplatform.module,webMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/lib/routing/fe/src/webMain,lib/routing/fe/src/webMain,web,0,0
:lib:storage:contract,lib,,,,contract,libs.plugins.snag.contract.driving.backend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/lib/storage/contract/src/commonMain,lib/storage/contract/src/commonMain,all,0,0
:core:business:rules:api,core,,,,api,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/core/business/rules/api/src/commonMain,core/business/rules/api/src/commonMain,all,0,0
:core:business:rules:impl,core,,,,impl,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/core/business/rules/impl/src/commonMain,core/business/rules/impl/src/commonMain,all,0,0
:core:business:rules:impl,core,,,,impl,libs.plugins.snag.multiplatform.module,commonTest,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/core/business/rules/impl/src/commonTest,core/business/rules/impl/src/commonTest,,0,0
